"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","No","50","Consistent","Living Room","Armchair Recliner"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","Yes","80","Inconsistent","Forest","Lily Pad"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","No","100","Inconsistent","Kitchen","Pan"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","No","80","Consistent","Farm","Tractor"
"bust.jpg","TV Remote","Living Room","Private","Indoors","ig2","No","100","Inconsistent","Urban Street","Crosswalk Signal"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","Yes","80","Inconsistent","Conference Room","Briefcase"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","Yes","80","Inconsistent","Kitchen","Stand Mixer"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","Yes","100","Consistent","Conference Room","Projector Screen"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","No","100","Consistent","City Center","Souvenir Stand"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","Yes","100","Consistent","Dining Room","Bowl"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","No","100","Consistent","Office","Printer"
"living16.jpg","Television","Living Room","Private","Indoors","ig1","No","50","Consistent","Living Room","Television"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","Yes","50","Consistent","Dining Room","Fork"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","No","80","Inconsistent","City Center","Flag Pole"
"bin.jpg","Rocking Chair","Living Room","Private","Indoors","ig2","No","100","Inconsistent","Playground","Swing Set"
"kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","ig2","No","80","Inconsistent","Suburban","Bird Bath"
"elephant.jpg","Napkin","Dining Room","Private","Indoors","ig1","Yes","50","Consistent","Dining Room","Napkin"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","No","50","Consistent","Classroom","Crayons"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","Yes","50","Inconsistent","Bedroom","Comforter Blanket"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","Yes","100","Inconsistent","Office","Sticky Notes"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","No","50","Consistent","Forest","Rock"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","Suburban","Lawn Mower"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","Yes","80","Consistent","Office","Stapler"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","Yes","100","Inconsistent","Forest","Wild Berries"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","No","100","Consistent","Bedroom","Dresser"
