"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"wood_kitchen.png","Broom","Kitchen","Private","Indoors","ig1","Yes","50","Inconsistent","Highway","Billboard"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","No","50","Inconsistent","Coast","Fishing Boat"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","No","80","Inconsistent","Bedroom","Dresser"
"urbanstreet1.jpg","Newspaper Box","Urban Street","Human","Outdoors","og1","Yes","50","Inconsistent","Kitchen","Rolling Pin"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","No","100","Inconsistent","Open Country","Pitchfork"
"forest14.jpg","Camping Tent","Forest","Natural","Outdoors","og2","Yes","50","Consistent","Forest","Camping Tent"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","Yes","100","Inconsistent","Living Room","Television"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","Yes","100","Inconsistent","Conference Room","Phone Set"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","Yes","80","Inconsistent","City Center","Souvenir Stand"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","No","100","Inconsistent","Dining Room","Bowl"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","Yes","80","Consistent","Open Country","Fence"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","No","50","Inconsistent","Office","Stapler"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","No","80","Inconsistent","Urban Street","Stop Sign"
"class11.jpg","Backpack","Classroom","Public","Indoors","ig2","No","50","Consistent","Classroom","Backpack"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","Yes","80","Inconsistent","Office","Printer"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","No","100","Inconsistent","Classroom","Pencil Case"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","Yes","50","Consistent","Highway","Motorcycle"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","Yes","50","Inconsistent","Bathroom","Shower Head"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","No","100","Consistent","Kitchen","Pan"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","Yes","50","Consistent","Suburban","Utility Pole"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","Yes","50","Consistent","Kitchen","Knife"
"modern_livingroom.png","Floor Lamp","Living Room","Private","Indoors","ig2","No","100","Consistent","Living Room","Floor Lamp"
"office4.jpg","Tape Dispenser","Office","Public","Indoors","ig2","No","50","Consistent","Office","Tape Dispenser"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","No","100","Inconsistent","Urban Street","Bus Stop Shelter"
"kitchen10.jpg","Rolling Pin","Kitchen","Private","Indoors","ig1","No","100","Inconsistent","Suburban","Traffic Light"
