"","SceneImage","Object","Basic","Superordinate","Supersuperordinate","a","A","b","B","c","C","d","D","e","E","f","F","g","G","h","H","i","I","j","J","k","K","l","L","m","M","n","N","o","O","p","P","q","Q","r","R","s","S","t","T","u","U","v","V","w","W","x","X"
"17","bust.jpg","TV Remote","Living Room","Private","Indoors","TV Remote","consistent.Consistent.Yes.100","TV Remote","consistent.Consistent.Yes.100","Fire Extinguisher","basic.Inconsistent.No.100","Crosswalk Signal","super.Inconsistent.No.100","TV Remote","consistent.Consistent.No.100","TV Remote","consistent.Consistent.No.100","Sticky Notes","basic.Inconsistent.Yes.150","Radio Tower","super.Inconsistent.Yes.150","TV Remote","consistent.Consistent.Yes.150","TV Remote","consistent.Consistent.Yes.150","Tape Dispenser","basic.Inconsistent.No.150","Radio Tower","super.Inconsistent.No.150","TV Remote","consistent.Consistent.No.150","TV Remote","consistent.Consistent.No.150","Alarm Clock","basic.Inconsistent.Yes.50","Crosswalk Signal","super.Inconsistent.Yes.50","TV Remote","consistent.Consistent.Yes.50","TV Remote","consistent.Consistent.Yes.50","Stapler","basic.Inconsistent.No.50","Sculpture","super.Inconsistent.No.50","TV Remote","consistent.Consistent.No.50","TV Remote","consistent.Consistent.No.50","Notebook","basic.Inconsistent.Yes.100","Radio Tower","super.Inconsistent.Yes.100"
"76","kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","Oven Mitts","consistent.Consistent.Yes.100","Oven Mitts","consistent.Consistent.Yes.100","Alarm Clock","basic.Inconsistent.No.100","Seesaw","super.Inconsistent.No.100","Oven Mitts","consistent.Consistent.No.100","Oven Mitts","consistent.Consistent.No.100","Armchair Recliner","basic.Inconsistent.Yes.150","Toadstool Mushroom","super.Inconsistent.Yes.150","Oven Mitts","consistent.Consistent.Yes.150","Oven Mitts","consistent.Consistent.Yes.150","Bowl","basic.Inconsistent.No.150","Parking Meter","super.Inconsistent.No.150","Oven Mitts","consistent.Consistent.No.150","Oven Mitts","consistent.Consistent.No.150","Fire Alarm","basic.Inconsistent.Yes.50","Rock","super.Inconsistent.Yes.50","Oven Mitts","consistent.Consistent.Yes.50","Oven Mitts","consistent.Consistent.Yes.50","Fire Alarm","basic.Inconsistent.No.50","Farmhouse","super.Inconsistent.No.50","Oven Mitts","consistent.Consistent.No.50","Oven Mitts","consistent.Consistent.No.50","Shower Head","basic.Inconsistent.Yes.100","Billboard","super.Inconsistent.Yes.100"
"48","dining6.jpg","Candle","Dining Room","Private","Indoors","Candle","consistent.Consistent.Yes.100","Candle","consistent.Consistent.Yes.100","Blender","basic.Inconsistent.No.100","Camping Tent","super.Inconsistent.No.100","Candle","consistent.Consistent.No.100","Candle","consistent.Consistent.No.100","Projector Screen","basic.Inconsistent.Yes.150","Seesaw","super.Inconsistent.Yes.150","Candle","consistent.Consistent.Yes.150","Candle","consistent.Consistent.Yes.150","Comforter Blanket","basic.Inconsistent.No.150","Billboard","super.Inconsistent.No.150","Candle","consistent.Consistent.No.150","Candle","consistent.Consistent.No.150","Knife","basic.Inconsistent.Yes.50","Billboard","super.Inconsistent.Yes.50","Candle","consistent.Consistent.Yes.50","Candle","consistent.Consistent.Yes.50","Toilet Paper","basic.Inconsistent.No.50","Stop Sign","super.Inconsistent.No.50","Candle","consistent.Consistent.No.50","Candle","consistent.Consistent.No.50","Backpack","basic.Inconsistent.Yes.100","Wildflower","super.Inconsistent.Yes.100"
"55","farm3.jpg","Scarecrow","Farm","Natural","Outdoors","Scarecrow","consistent.Consistent.Yes.100","Scarecrow","consistent.Consistent.Yes.100","Rocking Chair","super.Inconsistent.No.100","Armchair Recliner","super.Inconsistent.No.100","Scarecrow","consistent.Consistent.No.100","Scarecrow","consistent.Consistent.No.100","Horse Carriage","basic.Inconsistent.Yes.150","Laptop","super.Inconsistent.Yes.150","Scarecrow","consistent.Consistent.Yes.150","Scarecrow","consistent.Consistent.Yes.150","Seesaw","basic.Inconsistent.No.150","Apron","super.Inconsistent.No.150","Scarecrow","consistent.Consistent.No.150","Scarecrow","consistent.Consistent.No.150","Birdhouse","basic.Inconsistent.Yes.50","Pencil Case","super.Inconsistent.Yes.50","Scarecrow","consistent.Consistent.Yes.50","Scarecrow","consistent.Consistent.Yes.50","Pan","super.Inconsistent.No.50","Calculator","super.Inconsistent.No.50","Scarecrow","consistent.Consistent.No.50","Scarecrow","consistent.Consistent.No.50","Billboard","basic.Inconsistent.Yes.100","Alarm Clock","super.Inconsistent.Yes.100"
"62","forest11.jpg","Log Cabin","Forest","Natural","Outdoors","Log Cabin","consistent.Consistent.Yes.100","Log Cabin","consistent.Consistent.Yes.100","Beach Towel","basic.Inconsistent.No.100","Fire Hydrant","basic.Inconsistent.No.100","Log Cabin","consistent.Consistent.No.100","Log Cabin","consistent.Consistent.No.100","Seesaw","basic.Inconsistent.Yes.150","Blender","super.Inconsistent.Yes.150","Log Cabin","consistent.Consistent.Yes.150","Log Cabin","consistent.Consistent.Yes.150","Picture Frame","super.Inconsistent.No.150","Textbook","super.Inconsistent.No.150","Log Cabin","consistent.Consistent.No.150","Log Cabin","consistent.Consistent.No.150","Toilet Paper","super.Inconsistent.Yes.50","Floor Lamp","super.Inconsistent.Yes.50","Log Cabin","consistent.Consistent.Yes.50","Log Cabin","consistent.Consistent.Yes.50","Vacuum Cleaner","super.Inconsistent.No.50","Soap Bar","super.Inconsistent.No.50","Log Cabin","consistent.Consistent.No.50","Log Cabin","consistent.Consistent.No.50","Yield Sign","basic.Inconsistent.Yes.100","Laptop","super.Inconsistent.Yes.100"
"94","office9.jpg","Paper Shredder","Office","Public","Indoors","Paper Shredder","consistent.Consistent.Yes.100","Spoon","basic.Inconsistent.No.100","Fence","super.Inconsistent.No.100","Paper Shredder","consistent.Consistent.No.100","Paper Shredder","consistent.Consistent.No.100","Briefcase","basic.Inconsistent.Yes.150","Telephone Booth","super.Inconsistent.Yes.150","Paper Shredder","consistent.Consistent.Yes.150","Paper Shredder","consistent.Consistent.Yes.150","Television","basic.Inconsistent.No.150","Camping Tent","super.Inconsistent.No.150","Paper Shredder","consistent.Consistent.No.150","Paper Shredder","consistent.Consistent.No.150","Toothpaste","basic.Inconsistent.Yes.50","Baking Tray","basic.Inconsistent.Yes.50","Paper Shredder","consistent.Consistent.Yes.50","Paper Shredder","consistent.Consistent.Yes.50","Ottoman","basic.Inconsistent.No.50","Television","basic.Inconsistent.No.50","Paper Shredder","consistent.Consistent.No.50","Paper Shredder","consistent.Consistent.No.50","Oven Mitts","basic.Inconsistent.Yes.100","Lawn Mower","super.Inconsistent.Yes.100","Paper Shredder","consistent.Consistent.Yes.100"
"66","glass.jpg","Toaster","Kitchen","Private","Indoors","Toaster","consistent.Consistent.Yes.100","Ottoman","basic.Inconsistent.No.100","Fire Alarm","basic.Inconsistent.No.100","Toaster","consistent.Consistent.No.100","Toaster","consistent.Consistent.No.100","Sticky Notes","basic.Inconsistent.Yes.150","Yield Sign","super.Inconsistent.Yes.150","Toaster","consistent.Consistent.Yes.150","Toaster","consistent.Consistent.Yes.150","Tape Dispenser","basic.Inconsistent.No.150","Plate","basic.Inconsistent.No.150","Toaster","consistent.Consistent.No.150","Toaster","consistent.Consistent.No.150","Laundry Hamper","basic.Inconsistent.Yes.50","Pitchfork","super.Inconsistent.Yes.50","Toaster","consistent.Consistent.Yes.50","Toaster","consistent.Consistent.Yes.50","Vase","basic.Inconsistent.No.50","Briefcase","basic.Inconsistent.No.50","Toaster","consistent.Consistent.No.50","Toaster","consistent.Consistent.No.50","Television","basic.Inconsistent.Yes.100","Wildflower","super.Inconsistent.Yes.100","Toaster","consistent.Consistent.Yes.100"
"34","coast8.jpg","Buoy","Coast","Natural","Outdoors","Buoy","consistent.Consistent.Yes.100","Fence","basic.Inconsistent.No.100","Bowl","super.Inconsistent.No.100","Buoy","consistent.Consistent.No.100","Buoy","consistent.Consistent.No.100","Taxi","basic.Inconsistent.Yes.150","Toothpaste","super.Inconsistent.Yes.150","Buoy","consistent.Consistent.Yes.150","Buoy","consistent.Consistent.Yes.150","Scarecrow","basic.Inconsistent.No.150","Fork","super.Inconsistent.No.150","Buoy","consistent.Consistent.No.150","Buoy","consistent.Consistent.No.150","Horse Carriage","basic.Inconsistent.Yes.50","Tape Dispenser","super.Inconsistent.Yes.50","Buoy","consistent.Consistent.Yes.50","Buoy","consistent.Consistent.Yes.50","Souvenir Stand","basic.Inconsistent.No.50","Picture Frame","super.Inconsistent.No.50","Buoy","consistent.Consistent.No.50","Buoy","consistent.Consistent.No.50","Telephone Booth","basic.Inconsistent.Yes.100","Stapler","super.Inconsistent.Yes.100","Buoy","consistent.Consistent.Yes.100"
"41","corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","Drinking Fountain","consistent.Consistent.Yes.100","Oven Mitts","basic.Inconsistent.No.100","Wild Berries","super.Inconsistent.No.100","Drinking Fountain","consistent.Consistent.No.100","Drinking Fountain","consistent.Consistent.No.100","Rolling Pin","basic.Inconsistent.Yes.150","Soccer Ball","super.Inconsistent.Yes.150","Drinking Fountain","consistent.Consistent.Yes.150","Drinking Fountain","consistent.Consistent.Yes.150","TV Remote","basic.Inconsistent.No.150","Souvenir Stand","super.Inconsistent.No.150","Drinking Fountain","consistent.Consistent.No.150","Drinking Fountain","consistent.Consistent.No.150","Rolling Pin","basic.Inconsistent.Yes.50","Rocking Chair","basic.Inconsistent.Yes.50","Drinking Fountain","consistent.Consistent.Yes.50","Drinking Fountain","consistent.Consistent.Yes.50","Fork","basic.Inconsistent.No.50","Lighthouse","super.Inconsistent.No.50","Drinking Fountain","consistent.Consistent.No.50","Drinking Fountain","consistent.Consistent.No.50","Picture Frame","basic.Inconsistent.Yes.100","Vase","basic.Inconsistent.Yes.100","Drinking Fountain","consistent.Consistent.Yes.100"
"27","class8.jpg","Pencil Case","Classroom","Public","Indoors","Pencil Case","consistent.Consistent.Yes.100","Teddy Bear","basic.Inconsistent.No.100","Seesaw","super.Inconsistent.No.100","Pencil Case","consistent.Consistent.No.100","Pencil Case","consistent.Consistent.No.100","Printer","basic.Inconsistent.Yes.150","Windmill","super.Inconsistent.Yes.150","Pencil Case","consistent.Consistent.Yes.150","Pencil Case","consistent.Consistent.Yes.150","Napkin","basic.Inconsistent.No.150","Vacuum Cleaner","basic.Inconsistent.No.150","Pencil Case","consistent.Consistent.No.150","Pencil Case","consistent.Consistent.No.150","Plunger","basic.Inconsistent.Yes.50","Beach Towel","super.Inconsistent.Yes.50","Pencil Case","consistent.Consistent.Yes.50","Pencil Case","consistent.Consistent.Yes.50","Laundry Hamper","basic.Inconsistent.No.50","Feeding Trough","super.Inconsistent.No.50","Pencil Case","consistent.Consistent.No.50","Pencil Case","consistent.Consistent.No.50","Spoon","basic.Inconsistent.Yes.100","Blender","basic.Inconsistent.Yes.100","Pencil Case","consistent.Consistent.Yes.100"
"37","conference3.jpg","Phone Set","Conference Room","Public","Indoors","Flag Pole","super.Inconsistent.No.100","Bird Bath","super.Inconsistent.No.100","Phone Set","consistent.Consistent.No.100","Phone Set","consistent.Consistent.No.100","Candle","basic.Inconsistent.Yes.150","Log Cabin","super.Inconsistent.Yes.150","Phone Set","consistent.Consistent.Yes.150","Phone Set","consistent.Consistent.Yes.150","Drinking Fountain","basic.Inconsistent.No.150","Horse Carriage","super.Inconsistent.No.150","Phone Set","consistent.Consistent.No.150","Phone Set","consistent.Consistent.No.150","Soap Bar","basic.Inconsistent.Yes.50","Road Work Sign","super.Inconsistent.Yes.50","Phone Set","consistent.Consistent.Yes.50","Phone Set","consistent.Consistent.Yes.50","Picnic Table","super.Inconsistent.No.50","Windmill","super.Inconsistent.No.50","Phone Set","consistent.Consistent.No.50","Phone Set","consistent.Consistent.No.50","Crosswalk","super.Inconsistent.Yes.100","Wild Berries","super.Inconsistent.Yes.100","Phone Set","consistent.Consistent.Yes.100","Phone Set","consistent.Consistent.Yes.100"
"64","forest9.jpg","Axe","Forest","Natural","Outdoors","Lifeguard Tower","basic.Inconsistent.No.100","Picture Frame","super.Inconsistent.No.100","Axe","consistent.Consistent.No.100","Axe","consistent.Consistent.No.100","Fire Hydrant","basic.Inconsistent.Yes.150","Napkin","super.Inconsistent.Yes.150","Axe","consistent.Consistent.Yes.150","Axe","consistent.Consistent.Yes.150","Bird Bath","basic.Inconsistent.No.150","Teddy Bear","super.Inconsistent.No.150","Axe","consistent.Consistent.No.150","Axe","consistent.Consistent.No.150","Surfboard","basic.Inconsistent.Yes.50","Picture Frame","super.Inconsistent.Yes.50","Axe","consistent.Consistent.Yes.50","Axe","consistent.Consistent.Yes.50","Sculpture","basic.Inconsistent.No.50","Napkin","super.Inconsistent.No.50","Axe","consistent.Consistent.No.50","Axe","consistent.Consistent.No.50","Sandbox","basic.Inconsistent.Yes.100","Pan","super.Inconsistent.Yes.100","Axe","consistent.Consistent.Yes.100","Axe","consistent.Consistent.Yes.100"
"11","bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","Bathroom Sign","basic.Inconsistent.No.100","Lily Pad","super.Inconsistent.No.100","Comforter Blanket","consistent.Consistent.No.100","Comforter Blanket","consistent.Consistent.No.100","Projector","basic.Inconsistent.Yes.150","Wild Berries","super.Inconsistent.Yes.150","Comforter Blanket","consistent.Consistent.Yes.150","Comforter Blanket","consistent.Consistent.Yes.150","Paper Shredder","basic.Inconsistent.No.150","Trash Bags","super.Inconsistent.No.150","Comforter Blanket","consistent.Consistent.No.150","Comforter Blanket","consistent.Consistent.No.150","Drinking Fountain","basic.Inconsistent.Yes.50","Flag Pole","super.Inconsistent.Yes.50","Comforter Blanket","consistent.Consistent.Yes.50","Comforter Blanket","consistent.Consistent.Yes.50","TV Remote","basic.Inconsistent.No.50","Feeding Trough","super.Inconsistent.No.50","Comforter Blanket","consistent.Consistent.No.50","Comforter Blanket","consistent.Consistent.No.50","Crayons","basic.Inconsistent.Yes.100","Log Cabin","super.Inconsistent.Yes.100","Comforter Blanket","consistent.Consistent.Yes.100","Comforter Blanket","consistent.Consistent.Yes.100"
"106","pond.png","Birdhouse","Suburban","Natural","Outdoors","Toadstool Mushroom","basic.Inconsistent.No.100","TV Remote","super.Inconsistent.No.100","Birdhouse","consistent.Consistent.No.100","Birdhouse","consistent.Consistent.No.100","Rock","basic.Inconsistent.Yes.150","Shower Head","super.Inconsistent.Yes.150","Birdhouse","consistent.Consistent.Yes.150","Birdhouse","consistent.Consistent.Yes.150","Newspaper Box","basic.Inconsistent.No.150","Sticky Notes","super.Inconsistent.No.150","Birdhouse","consistent.Consistent.No.150","Birdhouse","consistent.Consistent.No.150","Newspaper Box","basic.Inconsistent.Yes.50","Printer","super.Inconsistent.Yes.50","Birdhouse","consistent.Consistent.Yes.50","Birdhouse","consistent.Consistent.Yes.50","Rock","basic.Inconsistent.No.50","Pan","super.Inconsistent.No.50","Birdhouse","consistent.Consistent.No.50","Birdhouse","consistent.Consistent.No.50","Fishing Boat","basic.Inconsistent.Yes.100","Sticky Notes","super.Inconsistent.Yes.100","Birdhouse","consistent.Consistent.Yes.100","Birdhouse","consistent.Consistent.Yes.100"
"68","highway12.jpg","Motorcycle","Highway","Human","Outdoors","Hay Bale","basic.Inconsistent.No.100","Sticky Notes","super.Inconsistent.No.100","Motorcycle","consistent.Consistent.No.100","Motorcycle","consistent.Consistent.No.100","Farmhouse","basic.Inconsistent.Yes.150","Television","super.Inconsistent.Yes.150","Motorcycle","consistent.Consistent.Yes.150","Motorcycle","consistent.Consistent.Yes.150","Fire Hydrant","basic.Inconsistent.No.150","Printer","super.Inconsistent.No.150","Motorcycle","consistent.Consistent.No.150","Motorcycle","consistent.Consistent.No.150","Log Cabin","basic.Inconsistent.Yes.50","Candle","super.Inconsistent.Yes.50","Motorcycle","consistent.Consistent.Yes.50","Motorcycle","consistent.Consistent.Yes.50","Trash Bags","basic.Inconsistent.No.50","Projector Screen","super.Inconsistent.No.50","Motorcycle","consistent.Consistent.No.50","Motorcycle","consistent.Consistent.No.50","Hay Bale","basic.Inconsistent.Yes.100","Briefcase","super.Inconsistent.Yes.100","Motorcycle","consistent.Consistent.Yes.100","Motorcycle","consistent.Consistent.Yes.100"
"2","bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","Tractor","super.Inconsistent.No.100","Shower Head","consistent.Consistent.No.100","Shower Head","consistent.Consistent.No.100","Plate","basic.Inconsistent.Yes.150","Scarecrow","super.Inconsistent.Yes.150","Shower Head","consistent.Consistent.Yes.150","Shower Head","consistent.Consistent.Yes.150","Apron","basic.Inconsistent.No.150","Flag Pole","super.Inconsistent.No.150","Shower Head","consistent.Consistent.No.150","Shower Head","consistent.Consistent.No.150","Floor Lamp","basic.Inconsistent.Yes.50","Historic Plaque","super.Inconsistent.Yes.50","Shower Head","consistent.Consistent.Yes.50","Shower Head","consistent.Consistent.Yes.50","Calculator","basic.Inconsistent.No.50","Farmhouse","super.Inconsistent.No.50","Shower Head","consistent.Consistent.No.50","Shower Head","consistent.Consistent.No.50","Laptop","basic.Inconsistent.Yes.100","Road Work Sign","super.Inconsistent.Yes.100","Shower Head","consistent.Consistent.Yes.100","Shower Head","consistent.Consistent.Yes.100","Blender","basic.Inconsistent.No.100"
"100","plant_bathroom.png","Toothpaste","Bathroom","Private","Indoors","Sandbox","super.Inconsistent.No.100","Toothpaste","consistent.Consistent.No.100","Toothpaste","consistent.Consistent.No.100","Alarm Clock","basic.Inconsistent.Yes.150","Crosswalk","super.Inconsistent.Yes.150","Toothpaste","consistent.Consistent.Yes.150","Toothpaste","consistent.Consistent.Yes.150","Broom","basic.Inconsistent.No.150","Road Work Sign","super.Inconsistent.No.150","Toothpaste","consistent.Consistent.No.150","Toothpaste","consistent.Consistent.No.150","Soccer Ball","super.Inconsistent.Yes.50","Speed Limit Sign","super.Inconsistent.Yes.50","Toothpaste","consistent.Consistent.Yes.50","Toothpaste","consistent.Consistent.Yes.50","Toaster","basic.Inconsistent.No.50","Bicycle","super.Inconsistent.No.50","Toothpaste","consistent.Consistent.No.50","Toothpaste","consistent.Consistent.No.50","Plate","basic.Inconsistent.Yes.100","Newspaper Box","super.Inconsistent.Yes.100","Toothpaste","consistent.Consistent.Yes.100","Toothpaste","consistent.Consistent.Yes.100","Camping Tent","super.Inconsistent.No.100"
"50","dining8.jpg","Fork","Dining Room","Private","Indoors","Taxi","super.Inconsistent.No.100","Fork","consistent.Consistent.No.100","Fork","consistent.Consistent.No.100","Phone Set","basic.Inconsistent.Yes.150","Hay Bale","super.Inconsistent.Yes.150","Fork","consistent.Consistent.Yes.150","Fork","consistent.Consistent.Yes.150","Bicycle","super.Inconsistent.No.150","Bicycle","super.Inconsistent.No.150","Fork","consistent.Consistent.No.150","Fork","consistent.Consistent.No.150","Projector","basic.Inconsistent.Yes.50","Subway Station Sign","super.Inconsistent.Yes.50","Fork","consistent.Consistent.Yes.50","Fork","consistent.Consistent.Yes.50","Exit Sign","basic.Inconsistent.No.50","Bird Bath","super.Inconsistent.No.50","Fork","consistent.Consistent.No.50","Fork","consistent.Consistent.No.50","Armchair Recliner","basic.Inconsistent.Yes.100","Bicycle","super.Inconsistent.Yes.100","Fork","consistent.Consistent.Yes.100","Fork","consistent.Consistent.Yes.100","Wheelbarrow","super.Inconsistent.No.100"
"81","living9.jpg","Ottoman","Living Room","Private","Indoors","Traffic Light","super.Inconsistent.No.100","Ottoman","consistent.Consistent.No.100","Ottoman","consistent.Consistent.No.100","Bathroom Sign","basic.Inconsistent.Yes.150","Newspaper Box","super.Inconsistent.Yes.150","Ottoman","consistent.Consistent.Yes.150","Ottoman","consistent.Consistent.Yes.150","Pencil Holder","basic.Inconsistent.No.150","Toadstool Mushroom","super.Inconsistent.No.150","Ottoman","consistent.Consistent.No.150","Ottoman","consistent.Consistent.No.150","Backpack","basic.Inconsistent.Yes.50","Road Work Sign","super.Inconsistent.Yes.50","Ottoman","consistent.Consistent.Yes.50","Ottoman","consistent.Consistent.Yes.50","Toadstool Mushroom","super.Inconsistent.No.50","Crosswalk Signal","super.Inconsistent.No.50","Ottoman","consistent.Consistent.No.50","Ottoman","consistent.Consistent.No.50","Paper Shredder","basic.Inconsistent.Yes.100","Fire Hydrant","super.Inconsistent.Yes.100","Ottoman","consistent.Consistent.Yes.100","Ottoman","consistent.Consistent.Yes.100","Fire Extinguisher","basic.Inconsistent.No.100"
"85","Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","Apron","super.Inconsistent.No.100","Wild Berries","consistent.Consistent.No.100","Wild Berries","consistent.Consistent.No.100","Farmhouse","basic.Inconsistent.Yes.150","TV Remote","super.Inconsistent.Yes.150","Wild Berries","consistent.Consistent.Yes.150","Wild Berries","consistent.Consistent.Yes.150","Fishing Boat","basic.Inconsistent.No.150","Soap Bar","super.Inconsistent.No.150","Wild Berries","consistent.Consistent.No.150","Wild Berries","consistent.Consistent.No.150","Sculpture","basic.Inconsistent.Yes.50","Plunger","super.Inconsistent.Yes.50","Wild Berries","consistent.Consistent.Yes.50","Wild Berries","consistent.Consistent.Yes.50","Swing Set","basic.Inconsistent.No.50","Paper Shredder","super.Inconsistent.No.50","Wild Berries","consistent.Consistent.No.50","Wild Berries","consistent.Consistent.No.50","Birdhouse","basic.Inconsistent.Yes.100","Speed Limit Sign","basic.Inconsistent.Yes.100","Wild Berries","consistent.Consistent.Yes.100","Wild Berries","consistent.Consistent.Yes.100","Fire Hydrant","basic.Inconsistent.No.100"
"69","highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","Speed Limit Sign","consistent.Consistent.No.100","Speed Limit Sign","consistent.Consistent.No.100","Windmill","basic.Inconsistent.Yes.150","Nightstand","super.Inconsistent.Yes.150","Speed Limit Sign","consistent.Consistent.Yes.150","Speed Limit Sign","consistent.Consistent.Yes.150","Laundry Hamper","super.Inconsistent.No.150","Toaster","super.Inconsistent.No.150","Speed Limit Sign","consistent.Consistent.No.150","Speed Limit Sign","consistent.Consistent.No.150","Lily Pad","basic.Inconsistent.Yes.50","Fire Alarm","super.Inconsistent.Yes.50","Speed Limit Sign","consistent.Consistent.Yes.50","Speed Limit Sign","consistent.Consistent.Yes.50","Bench","basic.Inconsistent.No.50","Backpack","super.Inconsistent.No.50","Speed Limit Sign","consistent.Consistent.No.50","Speed Limit Sign","consistent.Consistent.No.50","Bird Nest","basic.Inconsistent.Yes.100","Projector","super.Inconsistent.Yes.100","Speed Limit Sign","consistent.Consistent.Yes.100","Speed Limit Sign","consistent.Consistent.Yes.100","Laptop","super.Inconsistent.No.100","Floor Lamp","super.Inconsistent.No.100"
"73","kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","Stand Mixer","consistent.Consistent.No.100","Stand Mixer","consistent.Consistent.No.100","Sticky Notes","basic.Inconsistent.Yes.150","Stop Sign","super.Inconsistent.Yes.150","Stand Mixer","consistent.Consistent.Yes.150","Stand Mixer","consistent.Consistent.Yes.150","Coffee Maker","basic.Inconsistent.No.150","Billboard","super.Inconsistent.No.150","Stand Mixer","consistent.Consistent.No.150","Stand Mixer","consistent.Consistent.No.150","Armchair Recliner","basic.Inconsistent.Yes.50","Crosswalk Signal","super.Inconsistent.Yes.50","Stand Mixer","consistent.Consistent.Yes.50","Stand Mixer","consistent.Consistent.Yes.50","Bowl","basic.Inconsistent.No.50","Camping Tent","super.Inconsistent.No.50","Stand Mixer","consistent.Consistent.No.50","Stand Mixer","consistent.Consistent.No.50","Fire Extinguisher","basic.Inconsistent.Yes.100","Wildflower","super.Inconsistent.Yes.100","Stand Mixer","consistent.Consistent.Yes.100","Stand Mixer","consistent.Consistent.Yes.100","Fire Extinguisher","basic.Inconsistent.No.100","Bicycle","super.Inconsistent.No.100"
"104","play3.jpg","Sandbox","Playground","Human","Outdoors","Sandbox","consistent.Consistent.No.100","Sandbox","consistent.Consistent.No.100","Wildflower","basic.Inconsistent.Yes.150","Broom","super.Inconsistent.Yes.150","Sandbox","consistent.Consistent.Yes.150","Sandbox","consistent.Consistent.Yes.150","Fence","basic.Inconsistent.No.150","Bird Nest","basic.Inconsistent.No.150","Sandbox","consistent.Consistent.No.150","Sandbox","consistent.Consistent.No.150","Horse Carriage","basic.Inconsistent.Yes.50","Crayons","super.Inconsistent.Yes.50","Sandbox","consistent.Consistent.Yes.50","Sandbox","consistent.Consistent.Yes.50","Windmill","basic.Inconsistent.No.50","Broom","super.Inconsistent.No.50","Sandbox","consistent.Consistent.No.50","Sandbox","consistent.Consistent.No.50","Yield Sign","basic.Inconsistent.Yes.100","Crayons","super.Inconsistent.Yes.100","Sandbox","consistent.Consistent.Yes.100","Sandbox","consistent.Consistent.Yes.100","Parking Meter","basic.Inconsistent.No.100","Crayons","super.Inconsistent.No.100"
"72","kitchen10.jpg","Rolling Pin","Kitchen","Private","Indoors","Rolling Pin","consistent.Consistent.No.100","Rolling Pin","consistent.Consistent.No.100","Phone Set","basic.Inconsistent.Yes.150","Buoy","super.Inconsistent.Yes.150","Rolling Pin","consistent.Consistent.Yes.150","Rolling Pin","consistent.Consistent.Yes.150","Comforter Blanket","basic.Inconsistent.No.150","Parking Meter","super.Inconsistent.No.150","Rolling Pin","consistent.Consistent.No.150","Rolling Pin","consistent.Consistent.No.150","Television","basic.Inconsistent.Yes.50","Fishing Rod","super.Inconsistent.Yes.50","Rolling Pin","consistent.Consistent.Yes.50","Rolling Pin","consistent.Consistent.Yes.50","Shower Head","basic.Inconsistent.No.50","Bird Nest","super.Inconsistent.No.50","Rolling Pin","consistent.Consistent.No.50","Rolling Pin","consistent.Consistent.No.50","Sticky Notes","basic.Inconsistent.Yes.100","Radio Tower","super.Inconsistent.Yes.100","Rolling Pin","consistent.Consistent.Yes.100","Rolling Pin","consistent.Consistent.Yes.100","Ottoman","basic.Inconsistent.No.100","Lawn Mower","super.Inconsistent.No.100"
"49","dining7.jpg","Spoon","Dining Room","Private","Indoors","Spoon","consistent.Consistent.No.100","Spoon","consistent.Consistent.No.100","Shower Head","basic.Inconsistent.Yes.150","Bird Nest","super.Inconsistent.Yes.150","Spoon","consistent.Consistent.Yes.150","Spoon","consistent.Consistent.Yes.150","Laptop","basic.Inconsistent.No.150","Birdhouse","super.Inconsistent.No.150","Spoon","consistent.Consistent.No.150","Spoon","consistent.Consistent.No.150","Laundry Hamper","basic.Inconsistent.Yes.50","Wildflower","super.Inconsistent.Yes.50","Spoon","consistent.Consistent.Yes.50","Spoon","consistent.Consistent.Yes.50","Laptop","basic.Inconsistent.No.50","Sculpture","super.Inconsistent.No.50","Spoon","consistent.Consistent.No.50","Spoon","consistent.Consistent.No.50","Alarm Clock","basic.Inconsistent.Yes.100","Bird Nest","super.Inconsistent.Yes.100","Spoon","consistent.Consistent.Yes.100","Spoon","consistent.Consistent.Yes.100","Toothpaste","basic.Inconsistent.No.100","Soccer Ball","super.Inconsistent.No.100"
